state,district,week_start,week_end,crop_condition,hi_crop_condition,advisory,hi_advisory
Punjab,Firozpur,6/9/2025,6/15/2025,Crop condition not specifically mentioned in the advisory. Farmers are advised to continue regular crop monitoring and follow standard agronomic practices. Consult local agriculture officers if any symptoms or issues appear in the field.,फिरोजपुर के लिए फसल की स्थिति पर विशेष उल्लेख नहीं किया गया है। किसानों को नियमित निगरानी जारी रखने और सामान्य कृषि अनुशंसाओं का पालन करने की सलाह दी जाती है। यदि खेत में कोई लक्षण या समस्या दिखे तो नजदीकी कृषि अधिकारी से संपर्क करें।,"No specific update has been mentioned for Firozpur in the current advisory. However, farmers are advised to continue monitoring crop health, follow local weather updates, and prepare for timely irrigation and nutrient management as per crop stage. Remain alert for pest and weed activity, and take preventive measures accordingly.","फिरोजपुर के लिए वर्तमान परामर्श में कोई विशेष जानकारी उल्लेखित नहीं है। फिर भी, किसानों को फसल की स्थिति की निगरानी जारी रखने, स्थानीय मौसम की जानकारी पर ध्यान देने और फसल की अवस्था के अनुसार सिंचाई व पोषण प्रबंधन के लिए तैयार रहने की सलाह दी जाती है। कीट व खरपतवार की गतिविधि के प्रति सतर्क रहें और आवश्यकतानुसार रोकथाम के उपाय करें।"
Punjab,Faridkot,6/9/2025,6/15/2025,"Crop is 32–37 days old at 6–8 leaf stage. Intercultural operations done; first irrigation applied. Thrips observed above ETL in isolated spots. Monitor fields regularly. Use neem-based spray initially. If needed, apply Fipronil 5% SC or Spinosad 45% SC as per recommendations.","फसल 32–37 दिन की, 6–8 पत्तियों की अवस्था में है। अंतरसांस्कृतिक कार्य पूरे, पहली सिंचाई दी गई। कुछ स्थानों पर थ्रिप्स का प्रकोप ETL से अधिक। नियमित निगरानी करें। पहले नीम आधारित छिड़काव करें। आवश्यकता होने पर फिप्रोनिल 5% SC या स्पिनोसैड 45% SC का प्रयोग करें।","Give the first irrigation 4–6 weeks after sowing. Apply 90 kg urea in 2–3 split doses after irrigation, and avoid broadcasting nitrogen before irrigation. In case of high thrips infestation, give light irrigation to reduce stress. To monitor pink bollworm, use sticky or delta traps at the rate of 1 trap per hectare. Remove weeds like Kanghi buti and Peeli buti, which serve as alternate hosts for leaf curl virus.",फरीदकोट में पहली सिंचाई बुआई के 4–6 सप्ताह बाद दें। 90 किलो यूरिया को सिंचाई के बाद 2–3 बार में बांटकर डालें और सिंचाई से पहले नाइट्रोजन का छिड़काव न करें। थ्रिप्स का प्रकोप अधिक होने पर हल्की सिंचाई करें ताकि पौधों पर तनाव न पड़े। गुलाबी सुंडी की निगरानी के लिए 1 ट्रैप प्रति हेक्टेयर की दर से स्टिकी या डेल्टा ट्रैप का प्रयोग करें। लीफ कर्ल वायरस के वैकल्पिक होस्ट कांघी बूटी और पीली बूटी को खेत से हटा दें।
Punjab,Muktsar,6/9/2025,6/15/2025,"Crop condition not specifically mentioned in the advisory. Farmers should continue routine field monitoring and follow recommended practices. For any observed issues, consult local agriculture officials promptly.",मुक्तसर के लिए फसल की स्थिति का विशेष उल्लेख नहीं किया गया है। किसान नियमित खेत की निगरानी करें और अनुशंसित कृषि क्रियाओं का पालन करें। किसी भी समस्या की स्थिति में निकटतम कृषि अधिकारी से संपर्क करें।,"No specific update has been mentioned for Muktsar in the current advisory. Farmers are advised to keep monitoring crop health and field conditions. Follow recommended practices for irrigation, fertilizer application, and pest control based on crop stage. Stay updated with local weather forecasts and be prepared for timely field operations.","मुक्तसर के लिए वर्तमान परामर्श में कोई विशेष जानकारी नहीं दी गई है। किसानों को फसल की स्थिति और खेत की परिस्थितियों की नियमित निगरानी करने की सलाह दी जाती है। फसल की अवस्था के अनुसार सिंचाई, उर्वरक प्रबंधन और कीट नियंत्रण के अनुशंसित उपायों का पालन करें। स्थानीय मौसम पूर्वानुमान पर नज़र रखें और समय पर खेत कार्यों के लिए तैयार रहें।"
Punjab,Bhatinda,6/9/2025,6/15/2025,Crop is 15–35 days old at vegetative stage. Hoeing and weeding are in progress. Whitefly population is at 1–3 adults per 3 leaves; jassids observed at 0–1 per 3 leaves. Current levels are below ETL. Continue monitoring and maintain field hygiene.,"भटिंडा में फसल 15–35 दिन की है और वनस्पतिक अवस्था में है। गुड़ाई और निराई कार्य जारी हैं। सफेद मक्खी 1–3 वयस्क प्रति 3 पत्तियों पर तथा जासिड 0–1 प्रति 3 पत्तियों पर देखे गए हैं, जो ETL से कम हैं। निगरानी जारी रखें और खेत की स्वच्छता बनाए रखें।","Farmers in Bathinda are advised to remove weeds from around the field. After the first irrigation, when the soil is moist, spray Pyrithiobac Sodium + Quizalofop Ethyl 10 MEC at 1250 ml/ha for effective weed control. Monitor cotton fields for sucking pests such as whitefly and jassids. Use pheromone traps to detect pink bollworm, especially in early-sown cotton fields.","भटिंडा के किसानों को खेत के चारों ओर की खरपतवार को हटाने की सलाह दी जाती है। पहली सिंचाई के बाद जब मिट्टी नम हो, तब पायरीथियोबैक सोडियम + क्विजालोफॉप एथाइल 10 MEC @1250 मिली/हेक्टेयर का छिड़काव करें ताकि खरपतवारों पर प्रभावी नियंत्रण हो सके। कपास की फसल में चूसक कीटों जैसे सफेद मक्खी और जस्सिड्स की निगरानी करें। विशेष रूप से पहले से बोई गई कपास में गुलाबी सुंडी की पहचान के लिए फेरोमोन ट्रैप का उपयोग करें।"
Punjab,Sangrur,6/9/2025,6/15/2025,Crop condition not specifically mentioned in the advisory. Farmers should continue regular monitoring and follow standard crop management practices. Consult local agriculture officers if any symptoms or issues arise.,संगरूर के लिए फसल की स्थिति का विशेष उल्लेख नहीं किया गया है। किसान नियमित निगरानी जारी रखें और मानक कृषि प्रबंधन उपायों का पालन करें। किसी भी समस्या की स्थिति में नजदीकी कृषि अधिकारी से संपर्क करें।,"No specific update has been mentioned for Sangrur in the current advisory. However, farmers are advised to continue regular crop monitoring, especially for pest and weed activity. Follow timely irrigation and nutrient application as per crop stage. Stay updated with local weather and be prepared to act based on any sudden pest or disease outbreak.","संगरूर के लिए वर्तमान परामर्श में कोई विशेष जानकारी नहीं दी गई है। फिर भी, किसानों को फसल की नियमित निगरानी करने की सलाह दी जाती है, विशेष रूप से कीट और खरपतवार की गतिविधि के लिए। फसल की अवस्था के अनुसार समय पर सिंचाई और पोषण प्रबंधन करें। स्थानीय मौसम की जानकारी पर नज़र रखें और किसी भी अचानक कीट या रोग प्रकोप की स्थिति में त्वरित कार्रवाई के लिए तैयार रहें।"
Punjab,Ludhiana,6/9/2025,6/15/2025,"Crop condition not specifically mentioned in the advisory. Farmers are advised to continue routine crop monitoring and follow standard agronomic practices. For any emerging issues, consult local agricultural experts.",लुधियाना के लिए फसल की स्थिति का विशेष उल्लेख नहीं किया गया है। किसानों को नियमित रूप से फसल की निगरानी करने और मानक कृषि उपायों का पालन करने की सलाह दी जाती है। किसी भी समस्या की स्थिति में स्थानीय कृषि विशेषज्ञ से संपर्क करें।,"No specific update has been mentioned for Ludhiana in the current advisory. However, farmers are encouraged to continue routine crop care practices, including weed control, pest monitoring, and irrigation scheduling based on crop needs. Stay alert to any signs of pests or diseases and follow local agricultural recommendations accordingly.","लुधियाना के लिए वर्तमान परामर्श में कोई विशेष जानकारी नहीं दी गई है। फिर भी, किसानों को सामान्य फसल देखभाल जैसे खरपतवार नियंत्रण, कीटों की निगरानी और फसल की आवश्यकता अनुसार सिंचाई प्रबंधन जारी रखने की सलाह दी जाती है। कीट या रोग के लक्षण दिखने पर सतर्क रहें और स्थानीय कृषि विभाग की सिफारिशों के अनुसार कार्य करें।"
Haryana,Hisar,6/9/2025,6/15/2025,"Crop is 35–40 days old, at early vegetative to flowering stage. Weeding has been completed. Sucking pests and pink bollworm have started appearing. Farmers should monitor fields closely. Use recommended insecticides if pest levels approach ETL. Maintain field hygiene and avoid excessive nitrogen application.","हिसार में फसल 35–40 दिन की है, जो प्रारंभिक वनस्पतिक से फूल आने की अवस्था में है। निराई पूरी हो चुकी है। चूसक कीट और गुलाबी सुंडी दिखाई देने लगी हैं। किसान नियमित निगरानी करें। यदि कीट स्तर ETL के पास हो तो अनुशंसित कीटनाशकों का उपयोग करें। खेत की स्वच्छता बनाए रखें और नाइट्रोजन का अत्यधिक प्रयोग न करें।","Farmers in Hisar are advised to do hoeing using khurpi or kasola to maintain field hygiene. Insecticide application is not needed at this stage. Install 2 pheromone traps per acre to monitor pink bollworm and inspect them every 3 days. Remove and destroy dried foliage and old cotton stalks to reduce pest habitat. If pink bollworm infestation exceeds 5–10%, spray Profenofos 50EC. For root rot-affected patches, drench the soil with Carbendazim at 2 g per litre of water.","हिसार के किसानों को खेत की सफाई बनाए रखने के लिए खुर्पी या कसोला से गुड़ाई करने की सलाह दी जाती है। वर्तमान स्थिति में कीटनाशकों की आवश्यकता नहीं है। गुलाबी सुंडी की निगरानी के लिए प्रति एकड़ 2 फेरोमोन ट्रैप लगाएं और हर 3 दिन में जांच करें। सूखी पत्तियों और पुराने कपास के डंठलों को नष्ट करें ताकि कीटों का आश्रय स्थल कम किया जा सके। यदि गुलाबी सुंडी का प्रकोप 5–10% से अधिक हो, तो प्रोफेनोफॉस 50EC का छिड़काव करें। जड़ सड़न प्रभावित भागों में कार्बेन्डाजिम @ 2 ग्राम प्रति लीटर पानी से ड्रेंचिंग करें।"
Haryana,Sirsa,6/9/2025,6/15/2025,"Crop is 40–50 days old, at vegetative to flowering stage. Weeds are present in the field. Jassids observed at isolated locations. Farmers should carry out timely weeding and monitor crop regularly. If jassid population increases, take control measures as per recommendations.",सिरसा में फसल 40–50 दिन की है और वनस्पतिक से फूल आने की अवस्था में है। खेत में खरपतवार देखे गए हैं। कुछ स्थानों पर जासिड की उपस्थिति पाई गई है। किसान समय पर निराई करें और फसल की नियमित निगरानी करें। यदि जासिड की संख्या बढ़े तो अनुशंसित उपाय अपनाएं।,"Farmers in Sirsa should carry out gap filling by utilizing existing soil moisture. Irrigate the crop at 40–50 days after sowing, and apply the first split of urea after rainfall or irrigation. Perform hoeing using a kasola or suitable intercultural implements. For weed control, spray Pyrithiobac + Quizalofop, or use Paraquat/Glufosinate as recommended. Install pheromone traps at 45 days after sowing (DAS) to monitor pink bollworm. To manage root rot, drench affected areas with Carbendazim or Trichoderma solution.",सिरसा के किसानों को खेत में उपलब्ध मिट्टी की नमी का उपयोग करते हुए खाली स्थानों की भराई (गैप फिलिंग) करनी चाहिए। फसल की 40–50 दिन की अवस्था में सिंचाई करें और वर्षा या सिंचाई के बाद यूरिया की पहली खुराक दें। गुड़ाई कसोला या अन्य इंटरकल्चरल औजारों से करें। खरपतवार नियंत्रण के लिए पायरीथियोबैक + क्विजालोफॉप या पेराक्वाट/ग्लूफोसीनेट का छिड़काव करें। गुलाबी सुंडी की निगरानी हेतु 45 दिन बाद फेरोमोन ट्रैप लगाएं। जड़ सड़न नियंत्रण के लिए प्रभावित स्थानों पर कार्बेन्डाजिम या ट्राइकोडर्मा घोल से ड्रेंचिंग करें।
Haryana,Jind,6/9/2025,6/15/2025,"Crop condition not specifically mentioned in the advisory. Farmers should continue routine monitoring and follow recommended agronomic practices. In case of any issues, consult local agricultural officers promptly.",जींद के लिए फसल की स्थिति का विशेष उल्लेख नहीं किया गया है। किसान नियमित निगरानी करते रहें और अनुशंसित कृषि उपायों का पालन करें। किसी भी समस्या की स्थिति में नजदीकी कृषि अधिकारी से तुरंत संपर्क करें।,"No specific update has been mentioned for Jind in the current advisory. However, farmers are advised to continue regular field monitoring and follow standard crop management practices. Ensure timely hoeing, weed control, and irrigation based on crop needs. Watch for pest or disease symptoms and take preventive measures as necessary.","जींद के लिए वर्तमान परामर्श में कोई विशेष जानकारी नहीं दी गई है। फिर भी, किसानों को नियमित खेत की निगरानी करने और सामान्य फसल प्रबंधन उपायों का पालन करने की सलाह दी जाती है। समय पर गुड़ाई, खरपतवार नियंत्रण और फसल की आवश्यकता अनुसार सिंचाई करें। कीट या रोग के लक्षण दिखाई देने पर आवश्यकतानुसार रोकथाम के उपाय अपनाएं।"
Haryana,Rohtak,6/9/2025,6/15/2025,"Crop condition not specifically mentioned in the advisory. Farmers should continue regular field monitoring and follow standard crop management practices. For any observed issues, consult local agriculture experts.",रोहतक के लिए फसल की स्थिति का विशेष उल्लेख नहीं किया गया है। किसान नियमित रूप से खेत की निगरानी करें और मानक फसल प्रबंधन उपायों का पालन करें। किसी भी समस्या की स्थिति में स्थानीय कृषि विशेषज्ञ से संपर्क करें।,"No specific update has been mentioned for Rohtak in the current advisory. However, farmers should continue with regular crop monitoring and maintenance activities. Perform timely hoeing, manage weeds effectively, and provide irrigation based on soil moisture and crop stage. Stay alert for early signs of pests or diseases and follow local agricultural recommendations if needed.","रोहतक के लिए वर्तमान परामर्श में कोई विशेष जानकारी नहीं दी गई है। फिर भी, किसानों को नियमित रूप से फसल की निगरानी और देखभाल करने की सलाह दी जाती है। समय पर गुड़ाई करें, खरपतवारों का प्रभावी नियंत्रण करें और मिट्टी की नमी व फसल की अवस्था के अनुसार सिंचाई करें। कीट या रोग के प्रारंभिक लक्षणों पर ध्यान दें और आवश्यकता होने पर स्थानीय कृषि विभाग की सिफारिशों का पालन करें।"
