state,district,week_start,week_end,crop_condition,hi_crop_condition,advisory,hi_advisory
Punjab,Firozpur,6/2/2025,6/8/2025,"The crop is currently at unspecified growth stage in Firozpur. Farmers are advised to monitor field conditions regularly, check for pest activity, and maintain appropriate soil moisture levels.","फिरोजपुर में फसल की वर्तमान वृद्धि अवस्था उपलब्ध नहीं है। किसानों को नियमित रूप से खेत की स्थिति की निगरानी करनी चाहिए, कीट गतिविधि की जाँच करनी चाहिए और मिट्टी में उचित नमी बनाए रखनी चाहिए।","No crop-specific advisory is currently available for Firozpur. Farmers are advised to monitor local weather forecasts, prepare fields for upcoming sowing seasons, and consult KVK/agriculture department for crop-specific guidance.","फिरोज़पुर के लिए कोई विशिष्ट फसल सलाह उपलब्ध नहीं है। किसानों को स्थानीय मौसम पूर्वानुमान की निगरानी करनी चाहिए, आगामी बुवाई के लिए खेत तैयार करने चाहिए, तथा फसल-विशिष्ट मार्गदर्शन के लिए केवीके/कृषि विभाग से परामर्श लेना चाहिए।"
Punjab,Faridkot,6/2/2025,6/8/2025,"The crop is 25â€“30 days old at the 4â€“6 leaf stage, with sowing completed. Thrips are present but below the Economic Threshold Level (ETL) in isolated areas. Farmers should monitor for pest activity and maintain optimal soil moisture.","फसल 25–30 दिन की है और 4–6 पत्ती अवस्था में है, बुवाई पूरी हो चुकी है। थ्रिप्स कीट कुछ स्थानों पर आर्थिक क्षति स्तर (ETL) से कम हैं। किसानों को कीट गतिविधि पर नजर रखनी चाहिए और मिट्टी में उचित नमी बनाए रखें।","For cotton crops in Faridkot, farmers are advised to provide the first irrigation 4â€“6 weeks after sowing. Perform thinning and gap filling immediately after irrigation. Apply urea fertilizer in 2â€“3 split doses totaling 90 kg. Control weeds using Pendimethalin herbicide or manual weeding. Monitor and manage pink bollworm using pheromone traps. Remove weed species Kanghi buti (Abutilon indicum) and Peeli buti (Trianthema portulacastrum) manually to reduce competition.",फरीदकोट में कपास की फसल के लिए किसानों को सलाह दी जाती है कि बुवाई के 4–6 सप्ताह बाद पहली सिंचाई करें। सिंचाई के तुरंत बाद पतलीकरण और रिक्त स्थान भरें। यूरिया खाद 90 किग्रा की मात्रा को 2–3 हिस्सों में विभाजित करके डालें। खरपतवार नियंत्रण के लिए पेंडीमेथालिन हर्बिसाइड या हाथ से निराई-गुड़ाई का उपयोग करें। गुलाबी रोयेंदार इल्ली (पिंक बोलवर्म) की निगरानी के लिए फेरोमोन ट्रैप लगाएं। खरपतवार कांगी बूटी (Abutilon indicum) और पीली बूटी (Trianthema portulacastrum) को हाथ से निकालकर फसल प्रतिस्पर्धा कम करें।
Punjab,Muktsar,6/2/2025,6/8/2025,"Crop conditions in Muktsar are currently unspecified. Farmers are advised to monitor fields for pest activity, maintain optimal irrigation, and check soil moisture regularly.","मुक्तसर में फसल की स्थिति अभी उपलब्ध नहीं है। किसानों को खेतों में कीट गतिविधि की निगरानी करनी चाहिए, उचित सिंचाई बनाए रखनी चाहिए और मिट्टी की नमी की नियमित जाँच करनी चाहिए।",No crop-specific advisory is currently available for Muktsar. Farmers are advised to monitor local weather conditions and consult the nearest agriculture department office for customized recommendations based on their crop stage and field conditions.,मुक्तसर के लिए कोई विशिष्ट फसल सलाह उपलब्ध नहीं है। किसानों को स्थानीय मौसम की स्थिति पर नजर रखने तथा अपनी फसल अवस्था और खेत की स्थिति के आधार पर व्यक्तिगत सिफारिशों के लिए नजदीकी कृषि विभाग कार्यालय से संपर्क करने की सलाह दी जाती है।
Punjab,Bhatinda,6/2/2025,6/8/2025,The crop is 10â€“30 days old at vegetative stage with gap filling in progress. Whitefly incidence observed (1â€“2 per 3 leaves). Farmers should continue gap filling and monitor for whitefly population build-up.,"फसल 10–30 दिन की है और वानस्पतिक अवस्था में है, जगह-जगह पौध रोपण (गैप फिलिंग) चल रहा है। सफेद मक्खी का प्रकोप (1–2 प्रति 3 पत्तियाँ) देखा गया है। किसानों को गैप फिलिंग जारी रखनी चाहिए और सफेद मक्खी की आबादी पर नजर रखनी चाहिए।","Farmers in Bathinda are advised to remove weeds near the fields, perform gap filling in crops, and regularly monitor for sucking pests. These measures will help maintain healthy crop growth and reduce pest-related damage.","बठिंडा के किसानों को सलाह दी जाती है कि खेतों के आसपास के खरपतवार हटाएँ, फसल में रिक्त स्थान भरें, और चूसक कीटों की नियमित निगरानी करें। यह उपाय फसल की स्वस्थ वृद्धि और कीटों से होने वाले नुकसान को कम करने में मदद करेंगे।"
Punjab,Sangrur,6/2/2025,6/8/2025,Crop conditions in Sangrur are currently unspecified. Farmers are advised to monitor fields regularly for pest activity and maintain optimal soil moisture levels.,संगरूर में फसल की स्थिति अभी उपलब्ध नहीं है। किसानों को नियमित रूप से खेतों में कीट गतिविधि की निगरानी करनी चाहिए और मिट्टी में उचित नमी बनाए रखनी चाहिए।,No crop-specific advisory is currently available for Sangrur. Farmers are advised to monitor local weather conditions and consult the nearest agriculture department office for customized recommendations based on their crop stage and field conditions.,संगरूर के लिए कोई विशिष्ट फसल सलाह उपलब्ध नहीं है। किसानों को स्थानीय मौसम की स्थिति पर नजर रखने तथा अपनी फसल अवस्था और खेत की स्थिति के आधार पर व्यक्तिगत सिफारिशों के लिए नजदीकी कृषि विभाग कार्यालय से संपर्क करने की सलाह दी जाती है।
Punjab,Ludhiana,6/2/2025,6/8/2025,Crop conditions in Ludhiana are currently unspecified. Farmers are advised to monitor fields regularly for pest activity and maintain optimal soil moisture levels.,लुधियाना में फसल की स्थिति अभी उपलब्ध नहीं है। किसानों को नियमित रूप से खेतों में कीट गतिविधि की निगरानी करनी चाहिए और मिट्टी में उचित नमी बनाए रखनी चाहिए।,"No crop-specific advisory is currently available for Ludhiana. Farmers are advised to monitor local weather forecasts, observe crop growth stages, and consult Krishi Vigyan Kendra (KVK) or the agriculture department for region-specific guidance.","लुधियाना के लिए कोई विशिष्ट फसल सलाह उपलब्ध नहीं है। किसानों को स्थानीय मौसम पूर्वानुमान की निगरानी करनी चाहिए, फसल विकास चरणों का निरीक्षण करना चाहिए, तथा क्षेत्र-विशिष्ट मार्गदर्शन के लिए कृषि विज्ञान केंद्र (केवीके) या कृषि विभाग से परामर्श लेना चाहिए।"
Haryana,Hisar,6/2/2025,6/8/2025,"The crop is at vegetative to square initiation stage with observed weed presence. Sucking pests remain below economic threshold levels. Farmers should implement weed control, monitor pest populations, and maintain proper irrigation schedules.","फसल वानस्पतिक से वर्ग निर्माण अवस्था में है जहाँ खरपतवार की उपस्थिति देखी गई है। चूसक कीट आर्थिक क्षति स्तर से कम बने हुए हैं। किसानों को खरपतवार नियंत्रण करना चाहिए, कीट आबादी पर नजर रखनी चाहिए तथा उचित सिंचाई व्यवस्था बनाए रखनी चाहिए।","For cotton crops in Hisar, farmers are advised to apply the first irrigation 7â€“8 weeks after sowing. Apply one bag of urea per acre and perform hoeing after irrigation. Monitor fields for pink bollworm activity, and if infestation exceeds 5â€“10%, spray neem-based insecticide. For root rot management, drench affected patches with Carbendazim solution. Before flood irrigation, create protective bunds around infected areas to prevent disease spread.","हिसार में कपास की फसल के लिए किसानों को सलाह दी जाती है कि बुवाई के 7–8 सप्ताह बाद पहली सिंचाई करें। प्रति एकड़ एक बाग यूरिया डालें और सिंचाई के बाद होईंग (खुरपी से निराई) करें। गुलाबी रोयेंदार इल्ली (पिंक बोलवर्म) की निगरानी करें, और यदि संक्रमण 5–10% से अधिक हो तो नीम-आधारित कीटनाशक का छिड़काव करें। जड़ गलन प्रबंधन के लिए, प्रभावित स्थानों पर कार्बेन्डाजिम घोल का उपचार करें। बाढ़ सिंचाई से पहले, संक्रमित क्षेत्रों के चारों ओर मेड़ बनाकर रोग फैलने से रोकें।"
Haryana,Sirsa,6/2/2025,6/8/2025,"The crop is currently at vegetative stage with sowing, irrigation, weeding, and gap filling operations in progress. Farmers should ensure timely completion of these activities while monitoring crop health.","फसल वर्तमान में वानस्पतिक अवस्था में है, जिसमें बुवाई, सिंचाई, निराई-गुड़ाई तथा पौध रोपण (गैप फिलिंग) का कार्य चल रहा है। किसानों को इन गतिविधियों को समय पर पूरा करने के साथ-साथ फसल स्वास्थ्य की निगरानी करनी चाहिए।","Farmers in Sirsa are advised to perform gap filling using existing soil moisture. Before sowing, treat seeds with recommended fungicides or bioagents. Provide irrigation if the crop is 40â€“45 days old. Control weeds through hoeing or tractor-operated weeders. Install 2 pheromone-based traps (PBW) per acre for pest monitoring. To manage root rot, drench the root zone with Carbendazim or Trichoderma solution.","सिरसा के किसानों को सलाह दी जाती है कि मौजूदा मिट्टी की नमी का उपयोग करके रिक्त स्थान भरें। बुवाई से पहले, बीजों को सिफारिश किए गए फफूंदनाशक या जैविक एजेंटों से उपचारित करें। यदि फसल 40–45 दिन की हो तो सिंचाई करें। खुरपी या ट्रैक्टर से चलने वाले निराई उपकरणों से खरपतवार नियंत्रित करें। कीट निगरानी के लिए प्रति एकड़ 2 फेरोमोन-आधारित जाल (PBW) लगाएं। जड़ गलन प्रबंधन के लिए, जड़ क्षेत्र में कार्बेन्डाजिम या ट्राइकोडर्मा घोल का उपचार करें।"
Haryana,Jind,6/2/2025,6/8/2025,Crop conditions in Jind are currently unspecified. Farmers are advised to monitor fields regularly for pest activity and maintain optimal soil moisture levels.,जींद में फसल की स्थिति अभी उपलब्ध नहीं है। किसानों को नियमित रूप से खेतों में कीट गतिविधि की निगरानी करनी चाहिए और मिट्टी में उचित नमी बनाए रखनी चाहिए।,No crop-specific advisory is currently available for Jind. Farmers are advised to monitor local weather conditions and consult the nearest Krishi Vigyan Kendra (KVK) or agriculture department office for customized recommendations based on their crop stage and field conditions.,जींद के लिए कोई विशिष्ट फसल सलाह उपलब्ध नहीं है। किसानों को स्थानीय मौसम की स्थिति पर नजर रखने तथा अपनी फसल अवस्था और खेत की स्थिति के आधार पर व्यक्तिगत सिफारिशों के लिए नजदीकी कृषि विज्ञान केंद्र (केवीके) या कृषि विभाग कार्यालय से संपर्क करने की सलाह दी जाती है।
Haryana,Rohtak,6/2/2025,6/8/2025,Crop conditions in Rohtak are currently unspecified. Farmers are advised to monitor fields regularly for pest activity and maintain optimal soil moisture levels.,रोहतक में फसल की स्थिति अभी उपलब्ध नहीं है। किसानों को नियमित रूप से खेतों में कीट गतिविधि की निगरानी करनी चाहिए और मिट्टी में उचित नमी बनाए रखनी चाहिए।,No crop-specific advisory is currently available for Rohtak. Farmers are advised to monitor local weather conditions and consult the nearest Krishi Vigyan Kendra (KVK) or agriculture department office for customized recommendations based on their crop stage and field conditions.,रोहतक के लिए कोई विशिष्ट फसल सलाह उपलब्ध नहीं है। किसानों को स्थानीय मौसम की स्थिति पर नजर रखने तथा अपनी फसल अवस्था और खेत की स्थिति के आधार पर व्यक्तिगत सिफारिशों के लिए नजदीकी कृषि विज्ञान केंद्र (केवीके) या कृषि विभाग कार्यालय से संपर्क करने की सलाह दी जाती है।
Rajasthan,Ajmer,6/2/2025,6/8/2025,Crop conditions in Ajmer are currently unspecified. Farmers are advised to monitor fields regularly for pest activity and maintain optimal soil moisture levels.,अजमेर में फसल की स्थिति अभी उपलब्ध नहीं है। किसानों को नियमित रूप से खेतों में कीट गतिविधि की निगरानी करनी चाहिए और मिट्टी में उचित नमी बनाए रखनी चाहिए।,No crop-specific advisory is currently available for Ajmer. Farmers are advised to monitor local weather conditions and consult the nearest Krishi Vigyan Kendra (KVK) or agriculture department office for customized recommendations based on their crop stage and field conditions.,अजमेर के लिए कोई विशिष्ट फसल सलाह उपलब्ध नहीं है। किसानों को स्थानीय मौसम की स्थिति पर नजर रखने तथा अपनी फसल अवस्था और खेत की स्थिति के आधार पर व्यक्तिगत सिफारिशों के लिए नजदीकी कृषि विज्ञान केंद्र (केवीके) या कृषि विभाग कार्यालय से संपर्क करने की सलाह दी जाती है।
